SQL,Lineage
"CREATE VIEW customer_summary AS SELECT c.customer_id, c.first_name, c.last_name, c.email, COUNT(o.order_id) AS total_orders, SUM(o.total_amount) AS total_spent, AVG(o.total_amount) AS avg_order_value, MAX(o.order_date) AS last_order_date, (SELECT GROUP_CONCAT(p.product_name SEPARATOR ', ') FROM order_details od JOIN products p ON od.product_id = p.product_id WHERE od.order_id IN (SELECT order_id FROM orders WHERE customer_id = c.customer_id) GROUP BY od.order_id ORDER BY o.order_date DESC LIMIT 1) AS last_order_products FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name, c.email;","customers.customer_id -> customer_summary; customers.first_name -> customer_summary; customers.last_name -> customer_summary; customers.email -> customer_summary; orders.order_id -> customer_summary; orders.total_amount -> customer_summary; orders.order_date -> customer_summary; order_details.order_id -> customer_summary; order_details.product_id -> customer_summary; products.product_id -> customer_summary; products.product_name -> customer_summary"
"CREATE MATERIALIZED VIEW product_sales_summary AS SELECT p.product_id, p.product_name, c.category_name, SUM(od.quantity) AS total_quantity_sold, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS total_revenue, COUNT(DISTINCT o.customer_id) AS unique_customers FROM products p JOIN categories c ON p.category_id = c.category_id JOIN order_details od ON p.product_id = od.product_id JOIN orders o ON od.order_id = o.order_id WHERE o.order_date >= DATE_TRUNC('year', CURRENT_DATE) GROUP BY p.product_id, p.product_name, c.category_name;","products.product_id -> product_sales_summary; products.product_name -> product_sales_summary; products.category_id -> product_sales_summary; categories.category_id -> product_sales_summary; categories.category_name -> product_sales_summary; order_details.product_id -> product_sales_summary; order_details.quantity -> product_sales_summary; order_details.unit_price -> product_sales_summary; order_details.discount -> product_sales_summary; order_details.order_id -> product_sales_summary; orders.order_id -> product_sales_summary; orders.customer_id -> product_sales_summary; orders.order_date -> product_sales_summary"
"CREATE PROCEDURE update_product_ratings() BEGIN UPDATE products p SET p.average_rating = (SELECT AVG(rating) FROM product_reviews pr WHERE pr.product_id = p.product_id), p.review_count = (SELECT COUNT(*) FROM product_reviews pr WHERE pr.product_id = p.product_id), p.last_review_date = (SELECT MAX(review_date) FROM product_reviews pr WHERE pr.product_id = p.product_id); END;","products.product_id -> result; products.average_rating -> result; products.review_count -> result; products.last_review_date -> result; product_reviews.product_id -> result; product_reviews.rating -> result; product_reviews.review_date -> result"
"CREATE TRIGGER after_order_insert AFTER INSERT ON orders FOR EACH ROW BEGIN INSERT INTO order_history (order_id, customer_id, order_date, total_amount, status, created_at) VALUES (NEW.order_id, NEW.customer_id, NEW.order_date, NEW.total_amount, 'Placed', CURRENT_TIMESTAMP); UPDATE customers SET last_order_date = NEW.order_date, total_orders = total_orders + 1, total_spent = total_spent + NEW.total_amount WHERE customer_id = NEW.customer_id; END;","orders.order_id -> order_history; orders.customer_id -> order_history; orders.order_date -> order_history; orders.total_amount -> order_history; customers.customer_id -> result; customers.last_order_date -> result; customers.total_orders -> result; customers.total_spent -> result"
"CREATE INDEX idx_product_search ON products USING GIN (to_tsvector('english', product_name || ' ' || description));","products.product_name -> idx_product_search; products.description -> idx_product_search"
"CREATE FUNCTION get_product_revenue(p_product_id INT, start_date DATE, end_date DATE) RETURNS DECIMAL(10,2) AS $$ DECLARE total_revenue DECIMAL(10,2); BEGIN SELECT COALESCE(SUM(od.quantity * od.unit_price * (1 - od.discount)), 0) INTO total_revenue FROM order_details od JOIN orders o ON od.order_id = o.order_id WHERE od.product_id = p_product_id AND o.order_date BETWEEN start_date AND end_date; RETURN total_revenue; END; $$ LANGUAGE plpgsql;","order_details.quantity -> result; order_details.unit_price -> result; order_details.discount -> result; order_details.product_id -> result; order_details.order_id -> result; orders.order_id -> result; orders.order_date -> result"
"MERGE INTO inventory_summary AS target USING (SELECT product_id, SUM(quantity) AS total_quantity FROM (SELECT product_id, quantity_in_stock AS quantity FROM products UNION ALL SELECT product_id, quantity FROM purchase_order_details WHERE purchase_order_id IN (SELECT purchase_order_id FROM purchase_orders WHERE status = 'Pending')) AS inventory_sources GROUP BY product_id) AS source ON (target.product_id = source.product_id) WHEN MATCHED THEN UPDATE SET total_quantity = source.total_quantity, last_updated = CURRENT_TIMESTAMP WHEN NOT MATCHED THEN INSERT (product_id, total_quantity, last_updated) VALUES (source.product_id, source.total_quantity, CURRENT_TIMESTAMP);","products.product_id -> inventory_summary; products.quantity_in_stock -> inventory_summary; purchase_order_details.product_id -> inventory_summary; purchase_order_details.quantity -> inventory_summary; purchase_order_details.purchase_order_id -> inventory_summary; purchase_orders.purchase_order_id -> inventory_summary; purchase_orders.status -> inventory_summary"
"WITH RECURSIVE employee_hierarchy(employee_id, manager_id, full_name, level) AS (SELECT employee_id, manager_id, CONCAT(first_name, ' ', last_name), 0 FROM employees WHERE manager_id IS NULL UNION ALL SELECT e.employee_id, e.manager_id, CONCAT(e.first_name, ' ', e.last_name), eh.level + 1 FROM employees e JOIN employee_hierarchy eh ON e.manager_id = eh.employee_id) SELECT eh.employee_id, eh.full_name, eh.level, d.department_name, COALESCE(manager.full_name, 'Top Level') AS manager_name, e.salary, e.hire_date FROM employee_hierarchy eh JOIN employees e ON eh.employee_id = e.employee_id JOIN departments d ON e.department_id = d.department_id LEFT JOIN employee_hierarchy manager ON eh.manager_id = manager.employee_id ORDER BY eh.level, eh.full_name;","employees.employee_id -> result; employees.manager_id -> employee_hierarchy; employees.first_name -> result; employees.last_name -> result; employees.department_id -> result; employees.salary -> result; employees.hire_date -> result; departments.department_id -> result; departments.department_name -> result"
"CREATE TYPE order_status AS ENUM ('Pending', 'Processing', 'Shipped', 'Delivered', 'Cancelled');","order_status -> result"
"CREATE TABLE audit_log (id SERIAL PRIMARY KEY, table_name VARCHAR(50), record_id INTEGER, action VARCHAR(10), changed_fields JSONB, changed_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP, changed_by VARCHAR(50));","audit_log.id -> result; audit_log.table_name -> result; audit_log.record_id -> result; audit_log.action -> result; audit_log.changed_fields -> result; audit_log.changed_at -> result; audit_log.changed_by -> result"
"CREATE FUNCTION audit_trigger_func() RETURNS TRIGGER AS $$ DECLARE changed_fields JSONB; BEGIN IF TG_OP = 'INSERT' THEN changed_fields = to_jsonb(NEW); INSERT INTO audit_log (table_name, record_id, action, changed_fields, changed_by) VALUES (TG_TABLE_NAME, NEW.id, 'INSERT', changed_fields, current_user); ELSIF TG_OP = 'UPDATE' THEN changed_fields = jsonb_strip_nulls(to_jsonb(NEW) - to_jsonb(OLD)); IF changed_fields != '{}' THEN INSERT INTO audit_log (table_name, record_id, action, changed_fields, changed_by) VALUES (TG_TABLE_NAME, NEW.id, 'UPDATE', changed_fields, current_user); END IF; ELSIF TG_OP = 'DELETE' THEN changed_fields = to_jsonb(OLD); INSERT INTO audit_log (table_name, record_id, action, changed_fields, changed_by) VALUES (TG_TABLE_NAME, OLD.id, 'DELETE', changed_fields, current_user); END IF; RETURN NULL; END; $$ LANGUAGE plpgsql;","audit_log.table_name -> result; audit_log.record_id -> result; audit_log.action -> result; audit_log.changed_fields -> result; audit_log.changed_by -> result"
"CREATE TRIGGER products_audit_trigger AFTER INSERT OR UPDATE OR DELETE ON products FOR EACH ROW EXECUTE FUNCTION audit_trigger_func();","products.id -> audit_log"
"CREATE EXTENSION IF NOT EXISTS postgis; CREATE TABLE store_locations (id SERIAL PRIMARY KEY, store_name VARCHAR(100), location GEOGRAPHY(POINT, 4326));","store_locations.id -> result; store_locations.store_name -> result; store_locations.location -> result"
